,t_FBiH,3m_FBiH,6m_FBiH,9m_FBiH,1y_FBiH,2y_FBiH,3y_FBiH,5y_FBiH,6y_FBiH,7y_FBiH,10y_FBiH,15y_FBiH,t_AAA,1d_AAA,1m_AAA,3m_AAA,6m_AAA,9m_AAA,1y_AAA,1.5y_AAA,2y_AAA,3y_AAA,4y_AAA,5y_AAA,6y_AAA,7y_AAA,8y_AAA,9y_AAA,10y_AAA,15y_AAA,20y_AAA,t_euroarea,1d_euroarea,1m_euroarea,3m_euroarea,6m_euroarea,9m_euroarea,1y_euroarea,1.5y_euroarea,2y_euroarea,3y_euroarea,4y_euroarea,5y_euroarea,6y_euroarea,7y_euroarea,8y_euroarea,9y_euroarea,10y_euroarea,15y_euroarea,20y_euroarea,t_BAM,1d_BAM,1m_BAM,3m_BAM,6m_BAM,9m_BAM,1y_BAM,1.5y_BAM,2y_BAM,3y_BAM,4y_BAM,5y_BAM,6y_BAM,7y_BAM,8y_BAM,9y_BAM,10y_BAM,15y_BAM,20y_BAM
11,,,,,,,,,,,,,2011-05-26,0.929073275562004,0.9615986165584652,1.028079983643937,1.1257593418466805,1.2210070241680062,1.3138469267859163,1.4924082533043634,1.661669150759879,1.973299441610909,2.250909529294253,2.496834745534491,2.7134808272232265,2.9032541293862413,3.068510447487952,3.2115185454260624,3.334435223329569,3.7138122860333063,3.8370571551543975,2011-05-26,0.6465695903555321,0.7939565448115744,1.0590458833420422,1.376355747913272,1.623042424086739,1.8204259314670752,2.123050979267328,2.3577348045893523,2.7406053701184296,3.0656127786816176,3.3439819677066445,3.576768086544375,3.767938765059099,3.923814610094605,4.05111073372669,4.155811516160681,4.477719170795096,4.639962414945692,2011-05-26,3.27972336672395,2.9637402919523357,2.5659879550839193,2.471876887785574,2.7982874089032057,3.3942113420543247,4.999514243652714,6.767857046415764,9.983593025008126,12.449436711936103,14.242759866218288,15.5381399430601,16.480739510992706,17.173231639841116,17.685610826838484,18.065825600844555,18.88201317107852,18.94821038113059
12,,,,,,,,,,,,,2011-05-27,0.9229855224265778,0.9537120722174516,1.0166914499071549,1.1096440566960784,1.2007519733475744,1.2899920102641012,1.4628001013200136,1.627975596478351,1.935364491849006,2.2125202111096525,2.4604243475381873,2.6804836971635613,2.874379857203664,3.0439543348671365,3.191121895792864,3.3178062669146184,3.7071060051427054,3.826653928330439,2011-05-27,0.646416947879964,0.7912896765091988,1.0525626542428834,1.366659320531722,1.6119908591449956,1.809024097921597,2.112111140911616,2.3474655098686235,2.731098963303843,3.0569793865684556,3.337081798511086,3.5723709164548723,3.76642048324672,3.925202020243336,4.055218900922583,4.162361680301796,4.49252419175591,4.659094091474471,2011-05-27,3.3211392884442352,2.9655017218274695,2.5137746370423635,2.3891567492629173,2.7215422733142725,3.3419238960032693,5.011440761123408,6.833722747504363,10.094088268843937,12.542388356292635,14.290214321068737,15.532093748011851,16.422153998659013,17.06658385273015,17.53653867635296,17.88015855150294,18.589314260002126,18.63416819863098
13,,,,,,,,,,,,,2011-05-30,0.925538922965048,0.956376688088413,1.0195683035493213,1.1127961129260229,1.2041305409039684,1.293551703011089,1.4665982052824895,1.6318658483846642,1.939079870558504,2.2156933825972356,2.4627968114181655,2.681882142245988,2.874697106686341,3.043134035273646,3.1891462557439096,3.314686276827688,3.6989760670962326,3.815126880733248,2011-05-30,0.6629226623772632,0.8019854681882136,1.0547759826795835,1.362837816724503,1.607396334542266,1.8067251571769944,2.1182626522156367,2.362532569375845,2.7580561455906407,3.088080576379687,3.3681250119912294,3.6017753907155994,3.793877460325848,3.950880013407834,4.079404302605128,4.185326244525338,4.511870879210573,4.676667297670117,2011-05-30,0.0138488693903397,0.4070668757426754,1.2224179870627996,2.4330636520749,3.608351782615803,4.73257347041394,6.793587338524341,8.584640747299817,11.399304773629042,13.3742998889103,14.741037465609455,15.684803791805646,16.338206658256333,16.792317242265653,17.10890498142013,17.329902272940277,17.747352141898794,17.789552587800106
14,,,,,,,,,,,,,2011-05-31,0.9261541412642672,0.9592755244868448,1.0269675806111922,1.1264067458682114,1.2233478620113112,1.3178161060730136,1.499444166708635,1.6715277336245915,1.988116831733405,2.269847875167408,2.519148626829458,2.7385141312900316,2.93043507184679,3.0973454543389627,3.2415855288535607,3.365376639216485,3.745556896425887,3.866821270770743,2011-05-31,0.6519594917038116,0.7956832792022922,1.056005819763117,1.3712654555310535,1.6196366352420857,1.8206328033818655,2.1321876029936,2.3749373663082674,2.768126183805128,3.098131204361584,3.379528394976632,3.614939224038324,3.8087270329934704,3.967178149734265,4.096898196936891,4.203798159287893,4.533280726116012,4.699533522256285,2011-05-31,1.2134945414130869,1.3325315157000794,1.6859395044682477,2.4123788075278454,3.2823665453132547,4.222067192429435,6.127669228764795,7.904988992936921,10.818251646876105,12.915408085577614,14.400371706550128,15.460989663629372,16.230182822058428,16.79611704465871,17.216998113279125,17.531982821949143,18.240046581963156,18.344543345297613
15,,,,,,,,,,,,,2011-06-01,0.9462196168347085,0.9772582527980622,1.0408369814089573,1.1345777438006892,1.2263504026299712,1.316141955361488,1.489750843313539,1.6553804903256648,1.962869402848261,2.239359957033715,2.486124280494407,2.7047827292612343,2.897171081976685,3.065239527348944,3.2109769221926356,3.336355037183926,3.721564809598693,3.840655599313031,2011-06-01,0.6573928551145825,0.8038610076927891,1.0647686801623637,1.3726566649597962,1.6089994498104474,1.7969918629601915,2.086729958868502,2.3168739127097338,2.7071879154527956,3.047209042180615,3.339013753598691,3.5813396785565974,3.7786108709809145,3.9382115700459543,4.067765583117586,4.1738688151280545,4.4984855154676,4.661757292011112,2011-06-01,1.429416838945513,1.4947578090529774,1.7624996965404582,2.4087899569088127,3.2374846037864433,4.159859994049066,6.067108551111829,7.863363106845092,10.812963457424544,12.931081912367825,14.42806581636275,15.49769266988156,16.275277684309394,16.849486535024,17.278352694457467,17.600733252973612,18.331458763321976,18.436055984854875
16,,,,,,,,,,,,,2011-06-02,0.9690097845484372,0.9992728322607808,1.0612714493115816,1.152704760239924,1.2422460527949302,1.3298829884606649,1.499414238520146,1.661274992478342,1.9621384425530115,2.2331734557800367,2.4755736087049733,2.690864660877167,2.88078003536352,3.0471657283860685,3.191908683735546,3.316883787621576,3.706071703570837,3.833726723227711,2011-06-02,0.7003109882681939,0.8422235235417679,1.094558563345846,1.3915098453192425,1.6188877173507898,1.7995614839474907,2.0785391789510532,2.301715490985157,2.6849659732726847,3.0226723774012,3.3141482412979877,3.5568932679436087,3.754803215737786,3.9150525949887935,4.04519282861674,4.15180342912802,4.478046343234691,4.642148395441093,2011-06-02,0.7992170057033742,0.9992468358723788,1.490779798615191,2.3643039050046335,3.327636857651484,4.322514502438746,6.266299289739928,8.029768386107955,10.864773576732562,12.88089887650102,14.301239054187448,15.312983544714822,16.045039919948046,16.582061611271982,16.979768699256972,17.275657858479857,17.92118593320735,17.98902510007254
17,,,,,,,,,,,,,2011-06-03,0.9826053456371966,1.0129087281757083,1.074965868443892,1.1664282374876265,1.2559346550178536,1.3434796535241302,1.5126808623669246,1.674053874776951,1.9736186489612273,2.243120143936107,2.483926258170551,2.6976824746316392,2.8862007791342794,3.0513750633412524,3.1951176506961003,3.3193125856276655,3.7076071903866312,3.837792848259928,2011-06-03,0.7394827080968546,0.8744079356546856,1.1149317875233538,1.3993961104413004,1.61875225236903,1.7944001353461267,2.068562961337575,2.290311273598298,2.6734357481206343,3.011191872368241,3.3023852703077634,3.5447395897154967,3.742297168978383,3.902272571000331,4.032210131756193,4.138670906864265,4.464527833645798,4.6284531768426325,2011-06-03,0.0164333879948936,0.4895917588078362,1.4568493669661755,2.8567522195201622,4.1729816625288185,5.392262775766413,7.527834313588376,9.282507914775744,11.8674208283036,13.581445888216251,14.74589591334626,15.56104987298172,16.14726603603181,16.577755076092956,16.898538656093457,17.139725912227146,17.69539231070959,17.795119250590698
18,,,,,,,,,,,,,2011-06-06,0.9940499870699704,1.02567468953768,1.0903308292006668,1.185366826951979,1.2780813674400695,1.3684948711252591,1.5425101432300523,1.7076123264017302,2.0119890855377673,2.283613082181101,2.5246549206431528,2.737373372948076,2.9240442199223144,3.0869076885834534,3.2281306199275175,3.3497802275419692,3.728171921323935,3.855103254197755,2011-06-06,0.6940490391748407,0.8472280976021698,1.1158925691931267,1.424752242492564,1.6548522352228257,1.833454680527839,2.1035629439785755,2.3187365168773963,2.6955363534511605,3.03443038070555,3.3284556667579404,3.5727331733646537,3.770949425899947,3.930695152667152,4.059938038972682,4.16552815800973,4.487661088018763,4.649497295921162,2011-06-06,2.045646683760576,1.9724316092830116,1.9946789677796184,2.361167771166095,2.9946876153545148,3.786751497986791,5.568497841937644,7.349948549941484,10.409268501085672,12.67732533508383,14.3037571103343,15.471845686994357,16.32070769542493,16.94534239640119,17.409371283381834,17.75592336405264,18.526003529297064,18.626989222981265
19,,,,,,,,,,,,,2011-06-07,1.0252556489723474,1.0568356342609522,1.121417211932989,1.2163844724925457,1.3090784788987853,1.3995158984488787,1.5736984240163754,1.739105889362572,2.0444185701811475,2.317289616392729,2.559772070559549,2.7740349305369003,2.9622863684407177,3.126716601900933,3.269456361396114,3.392547657237526,3.776634919996618,3.906743067938052,2011-06-07,0.811882845555484,0.9351052756381154,1.1578073121541903,1.4276482587836048,1.6419905971685864,1.8183653993879323,2.101860645761592,2.335299021634908,2.735701158495627,3.081385151207523,3.375339540272916,3.618417134373097,3.816097386214151,3.9761036923526576,4.10610910099812,4.212680408993335,4.5391677339327,4.703486664959048,2011-06-07,2.482620206718603,2.3192189465331747,2.1534511542430583,2.2538778670107797,2.6597135404808157,3.272248530923287,4.840836859701366,6.571275675077032,9.80826233846748,12.36494243976955,14.231933559549937,15.549043571618189,16.46233267651882,17.088693396289642,17.513798329633083,17.798336165383212,18.22518429726588,18.14818363869687
20,,,,,,,,,,,,,2011-06-08,1.0560529457188788,1.0848035508454308,1.143845676142312,1.2312580045819483,1.3172398659400828,1.4017419668861952,1.5661415804425751,1.724183961324743,2.0205118332226957,2.290015695577544,2.532838807493728,2.749734693220754,2.941878282193027,3.1107202533978153,3.2578758137077224,3.385040812108321,3.7794587836964384,3.903479769837369,2011-06-08,0.83713803256606,0.960214145082224,1.1819021937796712,1.4490645102123296,1.6600828338457667,1.8330302267590983,2.110482339966765,2.3396369297534667,2.7363550246036557,3.0822913957823683,3.377986995982935,3.623069851646128,3.8225617509369383,3.984078065324941,4.11531155283944,4.222881431620492,4.552371302247797,4.7181852765758325,2011-06-08,2.742040043025721,2.4919747097912888,2.209565881921998,2.245054861974926,2.6615708965293123,3.3188748086135123,4.990438471352059,6.781311570968696,9.98932351859592,12.429326839021233,14.198272299838113,15.474099904397034,16.40144043395445,17.081864507593593,17.584450337103902,17.956499587728107,18.745067113047625,18.794247039313746
