"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2004-09-06",5.41050963796058,-3.4623582913207,-0.361334583694633,-0.466367761434436,3.12833084407056,1.489534894971
"2004-09-07",5.39188584106704,-3.45035285262485,-0.372907799207098,-0.271294732559718,3.15786823031308,1.54856575262985
"2004-09-08",5.38597843540422,-3.44794967699831,-0.346505028933357,-0.198077466909906,3.13785675893188,1.55314819257508
"2004-09-09",5.37733334040055,-3.43259212786898,-0.382207983207917,-0.293481761597984,3.27139194827688,1.52114274265202
"2004-09-10",5.3557323621141,-3.39528310468449,-0.375382273369997,-0.507893702294595,3.2798755259166,1.4791966135806
"2004-09-13",5.36540151951022,-3.41439954627604,-0.392851714845197,-0.296918476001595,3.31224227910572,1.57513208658529
"2004-09-14",5.36775902955965,-3.41619230655603,-0.401330727414096,-0.349662143322007,3.31139537753293,1.57184332625239
"2004-09-15",5.35826131181026,-3.40314582421555,-0.394387086975688,-0.359843089525316,3.3000787201018,1.57312291973505
"2004-09-16",5.34447489274988,-3.384598069379,-0.385638907838121,-0.331579382618294,3.29007239218729,1.58290344138938
"2004-09-17",5.32938158829866,-3.3520712225626,-0.389467743578484,-0.513191465238573,3.28513715040954,1.54506063555896
"2004-09-20",5.31158173997422,-3.34088199160692,-0.40075925152321,-0.465314112265995,3.30706357890378,1.579832201856
"2004-09-21",5.31676596315067,-3.34587350703915,-0.404347991503825,-0.418107138539215,3.31320094082772,1.60863931051736
"2004-09-22",5.2887465913651,-3.31446691895281,-0.407773200356776,-0.410370488861741,3.32362312971582,1.61834700860731
"2004-09-23",5.25354840608512,-3.26999115994613,-0.432388749907351,-0.593370561092397,3.39012732948226,1.56278545023586
"2004-09-24",5.2647097594817,-3.27693310584795,-0.379457507197029,-0.492620818277035,3.3607959103325,1.59456616634287
"2004-09-27",5.25361852058424,-3.2643589533875,-0.406791619385117,-0.53025666041971,3.38143065203473,1.61582124569004
"2004-09-28",5.22596857295907,-3.24074659957823,-0.269780620013017,-0.959519859625606,3.01643603240836,2.12340816463491
"2004-09-29",5.26652264401957,-3.28072287066124,-0.257036718664566,-0.879122396764904,3.03415614284096,2.24326497212059
"2004-09-30",5.34051833246066,-3.39572736766317,-0.315218998399277,-0.721099978641821,3.1525463175979,2.57896407421308
